icsd_id,formula,Final_label,group name,color,x,y
102963,Cu2.668 Ge1.332 S4,0,Diamond like,#1f77b4,2.9257255,53.86264
42105,Fe2.668 Cu1.332 S4,39,All other groups,#BCBD22,4.5512934,16.941925
300242,Fe0.6 Cu3.4 Re10.976 Mo5.024 S32,-1,No group,#17becf,-31.61777,13.868667
24172,Zn0.04 Fe1.24 Cu2.12 Sn0.2 Sb0.04 Te0.08 Mo0.36 As0.12 S2.84,0,Diamond like,#1f77b4,-5.3781238,39.388477
103008,Zn2 In1 Cu1 S4,0,Diamond like,#1f77b4,2.9513087,64.17816
32525,Cu4 Sn15 S32,-1,No group,#17becf,-25.613327,30.89499
261884,Fe2 Cu2 S4,0,Diamond like,#1f77b4,-5.06045,38.417637
42710,Cu7.2 S4,39,All other groups,#BCBD22,6.6946692,17.234795
107789,Al0.64 Zn2.72 Cu0.64 S4,0,Diamond like,#1f77b4,2.0833127,63.907784
96125,Zn1.72 In1.14 Cu1.14 S4,0,Diamond like,#1f77b4,3.0753472,64.18498
16423,In20 Cu4 S32,23,Spinel,#2ca02c,-27.490358,32.656376
157965,Na1.424 In20 Cu2.576 S32,23,Spinel,#2ca02c,-27.45215,34.284813
72148,In19.7 Cu2.94 S32,23,Spinel,#2ca02c,-27.51695,33.224625
57205,In2.224 Cu0.444 S4,0,Diamond like,#1f77b4,2.062149,67.175156
71117,Fe0.6 Cu3.4 Re11.36 Mo4.64 S32,-1,No group,#17becf,-31.617123,13.868346
402891,V1 Cu3 S4,45,All other groups,#BCBD22,-6.008339,18.756548
628473,Nb1 Cu3 Se2 S2,45,All other groups,#BCBD22,-7.1783314,18.493393
170784,Nb1 Cu3 S4,45,All other groups,#BCBD22,-6.2699695,18.138428
628903,Ta1 Cu3 S4,45,All other groups,#BCBD22,-6.8630056,17.600775
38811,Fe0.5 Cu3 Ge0.5 S4,0,Diamond like,#1f77b4,-7.67471,47.1342
628842,V1 Cu3 Se2 S2,45,All other groups,#BCBD22,-7.0262957,18.88474
628841,Ta1 Cu3 Te1 Se2 S1,45,All other groups,#BCBD22,-7.886679,17.914404
42516,Cu3 As1 S4,0,Diamond like,#1f77b4,0.9076603,50.43461
16277,Ta1 Cu3 Se3 S1,45,All other groups,#BCBD22,-7.7363005,17.96642
628476,Nb0.4 V0.6 Cu3 S4,45,All other groups,#BCBD22,-6.3548903,18.50701
93938,Fe0.801 Cu1.86 Sn0.97 S4,0,Diamond like,#1f77b4,-4.121094,45.52077
199101,Ta1 Cu3 Se2 S2,45,All other groups,#BCBD22,-7.4217434,17.863867
199123,V1 Cu3 Se2.8 S1.2,45,All other groups,#BCBD22,-7.6180463,18.670086
628475,Ta0.5 Nb0.5 Cu3 S4,45,All other groups,#BCBD22,-6.3591886,17.942417
628907,Ta0.5 V0.5 Cu3 S4,45,All other groups,#BCBD22,-5.9522333,18.367592
628980,Zn3.88 Cu0.12 S8,32,All other groups,#BCBD22,-22.717546,25.107101
619765,Cd0.16 Cu3.84 S8,32,All other groups,#BCBD22,-22.104244,24.369585
628552,Cu1 Ni3 S8,32,All other groups,#BCBD22,-21.825777,23.138765
74631,Fe1.2 Cu2.8 S8,32,All other groups,#BCBD22,-23.096987,23.591026
628790,Cu4 S8,32,All other groups,#BCBD22,-22.071133,24.312407
