icsd,formula,PTR_label,LoStOP_label,Final PTR,Final cosine,Final Euclid,material_id,formation_energy,band_gap,bulk_modulus
63697,V2 Cu2.004 P4 S12,0,-1,-1,7,-1,,,,
627755,Cu8 Ni2 Ge4 S14,0,0,0,0,0,,,,
406210,Ta4 Tl6 Cu6 S16,-1,10,-1,0,1,mp-554994,-0.9930653,1.9486,
82755,Fe0.28 Co0.52 Cu2.12 Ni1.08 S8,0,29,32,0,1,,,,
82754,Fe0.44 Co0.24 Cu2.72 Ni0.6 S8,0,29,32,0,1,,,,
238193,Rb16 Cu12 As16 S38,0,-1,-1,0,-1,mp-1194809,-0.881788136,1.2763,
430476,Rb2 Cu8 As2 S8,0,-1,-1,0,1,,,,
420017,K2 Cu8 As2 S8,0,-1,-1,0,1,mp-557728,-0.638638601,1.322,
240682,Cu14 H18 S8 N8,0,-1,-1,27,-1,,,,
258942,Cu2 H28 C8 S4 N4 Cl8,-1,-1,-1,-1,-1,,,,
34448,Cu2 H20 S2 O18,13,15,33,1,3,mp-655377,-1.176604192,0,
249908,Cu13 H24 C11 S8 Br2 N3,0,-1,-1,27,-1,,,,
432820,Cu2 B2 H2 S6 O24,0,-1,-1,1,3,,,,
238192,Cs4 Cu4 Sb4 S10,0,-1,-1,0,-1,mp-1190579,-0.878566263,1.1041,
247947,Cu5 H14 S2 O18,12,-1,31,1,3,,,,
172627,Mg0.9 Cu1.1 S2 O18,-1,14,14,1,3,,,,
194358,Yb2 Cu1 Te2 S2 O14,14,-1,-1,1,3,mp-1190117,-2.130462675,0,
99788,Tl2 Cu1.3 Ag0.7 As4 Pb2 S10,-1,-1,-1,0,-1,,,,
65134,Cu2 Se1.26 S0.74 O18,0,-1,-1,1,-1,,,,
194351,Eu2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
20658,Cu2 H20 S2 O18,13,15,33,1,3,mp-655377,-1.176604192,0,
194359,Lu2 Cu1 Te2 S2 O14,14,-1,-1,1,3,mp-1190203,-2.373613624,0.6429,
41337,Cs4 Cu4 S24,-1,-1,-1,0,6,mp-1199244,-0.815943951,1.0912,
170056,Cu1 H38 C12 S8 O14,-1,-1,-1,1,17,mp-1201449,-0.727043936,0.7599,
194452,Cu1 H24 Au2 C12 S4 Br4 N4 O4,-1,-1,-1,1,17,,,,
230725,Li4 Cu4 S4 O18,-1,-1,-1,1,-1,,,,
432024,K6 Al1.688 Fe0.312 Cu6 S8 O36,0,-1,-1,1,-1,,,,
1442,Cu2 H18 C2 S2 N8 Cl6 O2,-1,-1,-1,3,-1,mp-706528,-0.385644536,1.4969,
17071,U2 Cu1 S2 O22,-1,-1,-1,1,3,,,,
60059,Cu2 H20 S2 O18,13,15,33,1,3,mp-655377,-1.176604192,0,
290248,U4 Cu3 S2 O34,-1,-1,-1,1,3,,,,
68184,Cu2 H4 S2 O10,-1,-1,29,1,3,mp-24522,-1.556990961,0,
194355,Ho2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
79164,Cu2 S2 O10,0,19,14,1,3,,,,
173724,Cu2 H48 C18 S6 I2 N12,-1,-1,-1,3,18,,,,
432821,Cu1 B2 S4 O16,0,-1,-1,1,3,,,,
243538,Cu7 Te2 H6 S2 O20.0,-1,-1,-1,-1,-1,,,,
110203,Cu4 H36 C16 S16 N4,-1,-1,-1,3,18,mp-738675,-0.28653673,0.0192,
269410,Cu1 H36 Pt1 C16 S6 Br2 N4 O6,-1,-1,-1,1,17,,,,
191094,K4 Cu8 Bi4 S12,0,31,3,0,1,mp-1194436,-0.763412657,0.6691,
253299,Na2 Cu1 Se0.1 S1.9 O10,0,32,14,1,3,,,,
81714,Cs4 Cu4 Se17.608 S6.392,-1,-1,-1,0,-1,,,,
259152,Cu8 Se2 S2 O26,-1,-1,14,1,3,,,,
63254,Cu1 Pb4 S2 O14,-1,14,14,1,3,mp-1192134,-1.437501024,0,
194350,Sm2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
253301,Na2 Cu1 Se0.2 S1.8 O10,0,32,14,1,3,,,,
65201,Cu7 Te2 S2 O20,-1,-1,-1,-1,-1,,,,
75429,K4 Cu8 As4 S12,0,31,3,0,1,mp-554421,-0.746053124,1.1725,
156632,Tl12 Cu12.74 Ag5.26 Sb0.9 As17.1 S42,0,-1,-1,0,-1,,,,
253307,Na2 Cu1 Se1 S1 O10,0,32,14,1,3,,,,
253313,Na2 Cu1 P0.1 S1.9 O9.9 F0.1,0,32,14,1,3,,,,
430627,K4 Cu8 Sb4 S12,0,31,3,0,1,mp-1192531,-0.768719616,0.9664,
8225,Al1 Cu1 H28 S2 Cl1 O22,-1,-1,20,1,3,mp-706670,-1.556665191,0.8267,
428356,Cu1 Sb6 S2 O16,-1,-1,-1,1,-1,mp-1190199,-1.815323481,0.4698,
248948,Cu3 P2 C4 S2 O16,-1,-1,-1,1,-1,,,,
194348,Y2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
31830,Cu2 S2 O18,0,14,14,1,3,,,,
253305,Na2 Cu1 Se0.5 S1.5 O10,0,32,14,1,3,,,,
253314,Na2 Cu1 P0.2 S1.8 O9.8 F0.2,0,32,14,1,3,,,,
20657,Cu2 H20 S2 O18,13,15,33,1,3,mp-655377,-1.176604192,0,
380382,Cu1 H6 Pb4 S2 O14,-1,-1,-1,1,3,,,,
194354,Dy2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
196306,Cu2 H20 S2 O18,13,-1,-1,1,3,,,,
253303,Na2 Cu1 Se0.3 S1.7 O10,0,32,14,1,3,,,,
166101,Cu2 H4 S2 O10,-1,-1,29,1,3,mp-24522,-1.556990961,0,
194353,Tb2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
79687,Cu5 S2 O18,0,28,14,1,3,,,,
8251,Cu1.84 Mo6 S8,15,-1,-1,-1,-1,,,,
172335,Cu1 C2 S2 O6 F6,-1,-1,-1,1,3,mp-555656,-1.780404364,0.2534,
151007,Cu1 C4 S4 N2 O12,-1,-1,-1,1,3,,,,
404835,Zn3 Cu2 H14 S2 O18,12,18,31,1,3,mp-1204058,-1.527451401,0,
253315,Na2 Cu1 P0.3 S1.7 O9.7 F0.3,0,32,14,1,3,,,,
97295,Fe1.46 Cu0.54 S2 O18,4,14,14,1,3,,,,
96415,La4 Mn1 Cu6 S10,0,-1,-1,0,10,mp-560796,-1.509611038,1.1381,
194356,Er2 Cu1 Te2 S2 O14,14,30,34,1,3,,,,
78664,Mg0.98 Cu1.02 S2 O10,0,19,14,1,3,,,,
79163,Fe1.06 Cu0.94 S2 O10,0,19,14,1,3,,,,
172628,Mg0.8 Cu1.2 S2 O18,-1,14,14,1,3,,,,
194349,Nd2 Cu1 Te2 S2 O14,-1,30,34,1,3,,,,
166103,Cu2 H20 S2 O18,13,15,33,1,3,mp-655377,-1.176604192,0,
261887,Cu4 P16 S12 Br4,-1,-1,35,0,19,mp-1196166,-0.440995535,1.9243,
